station_code,station_name,longitude,latitude,observations_url,forecast_url
DAFQX,Bathurst,-65.6283,47.6261,http://dd.weather.gc.ca/air_quality/aqhi/atl/observation/realtime/xml/AQ_OBS_DAFQX_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/atl/forecast/realtime/xml/AQ_FCST_DAFQX_CURRENT.xml
AADCE,Burin,-55.175272,47.082841,http://dd.weather.gc.ca/air_quality/aqhi/atl/observation/realtime/xml/AQ_OBS_AADCE_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/atl/forecast/realtime/xml/AQ_FCST_AADCE_CURRENT.xml
DAHEI,Campbellton,-66.683511,47.999336,http://dd.weather.gc.ca/air_quality/aqhi/atl/observation/realtime/xml/AQ_OBS_DAHEI_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/atl/forecast/realtime/xml/AQ_FCST_DAHEI_CURRENT.xml
BAARG,Charlottetown,-63.1347222222222,46.2402777777778,http://dd.weather.gc.ca/air_quality/aqhi/atl/observation/realtime/xml/AQ_OBS_BAARG_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/atl/forecast/realtime/xml/AQ_FCST_BAARG_CURRENT.xml
AAEOU,Corner Brook,-57.922167,48.9521,http://dd.weather.gc.ca/air_quality/aqhi/atl/observation/realtime/xml/AQ_OBS_AAEOU_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/atl/forecast/realtime/xml/AQ_FCST_AAEOU_CURRENT.xml
DALZZ,Edmundston,-68.294444,47.377222,http://dd.weather.gc.ca/air_quality/aqhi/atl/observation/realtime/xml/AQ_OBS_DALZZ_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/atl/forecast/realtime/xml/AQ_FCST_DALZZ_CURRENT.xml
DAFMJ,Fredericton,-66.666667,45.945278,http://dd.weather.gc.ca/air_quality/aqhi/atl/observation/realtime/xml/AQ_OBS_DAFMJ_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/atl/forecast/realtime/xml/AQ_FCST_DAFMJ_CURRENT.xml
ABYRK,Grand Falls - Windsor,-55.66,48.93,http://dd.weather.gc.ca/air_quality/aqhi/atl/observation/realtime/xml/AQ_OBS_ABYRK_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/atl/forecast/realtime/xml/AQ_FCST_ABYRK_CURRENT.xml
CAORH,Greenwood,-64.929722,44.969167,http://dd.weather.gc.ca/air_quality/aqhi/atl/observation/realtime/xml/AQ_OBS_CAORH_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/atl/forecast/realtime/xml/AQ_FCST_CAORH_CURRENT.xml
CBUCG,Halifax,-63.57392,44.64625,http://dd.weather.gc.ca/air_quality/aqhi/atl/observation/realtime/xml/AQ_OBS_CBUCG_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/atl/forecast/realtime/xml/AQ_FCST_CBUCG_CURRENT.xml
CAPHL,Halifax Downtown,-63.590651,44.647401,http://dd.weather.gc.ca/air_quality/aqhi/atl/observation/realtime/xml/AQ_OBS_CAPHL_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/atl/forecast/realtime/xml/AQ_FCST_CAPHL_CURRENT.xml
CASWE,Kentville,-64.4952777777778,45.0775,http://dd.weather.gc.ca/air_quality/aqhi/atl/observation/realtime/xml/AQ_OBS_CASWE_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/atl/forecast/realtime/xml/AQ_FCST_CASWE_CURRENT.xml
ABFQA,Labrador City,-66.9365972,52.9605694,http://dd.weather.gc.ca/air_quality/aqhi/atl/observation/realtime/xml/AQ_OBS_ABFQA_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/atl/forecast/realtime/xml/AQ_FCST_ABFQA_CURRENT.xml
CATHI,Lake Major,-63.467261,44.71338,http://dd.weather.gc.ca/air_quality/aqhi/atl/observation/realtime/xml/AQ_OBS_CATHI_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/atl/forecast/realtime/xml/AQ_FCST_CATHI_CURRENT.xml
DBEDJ,Miramichi,-65.4666999,47.0041999,http://dd.weather.gc.ca/air_quality/aqhi/atl/observation/realtime/xml/AQ_OBS_DBEDJ_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/atl/forecast/realtime/xml/AQ_FCST_DBEDJ_CURRENT.xml
DADHJ,Moncton,-64.803056,46.115833,http://dd.weather.gc.ca/air_quality/aqhi/atl/observation/realtime/xml/AQ_OBS_DADHJ_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/atl/forecast/realtime/xml/AQ_FCST_DADHJ_CURRENT.xml
CBDPK,Pictou,-62.7091666666667,45.6758333333333,http://dd.weather.gc.ca/air_quality/aqhi/atl/observation/realtime/xml/AQ_OBS_CBDPK_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/atl/forecast/realtime/xml/AQ_FCST_CBDPK_CURRENT.xml
CBELL,Port Hawkesbury,-61.356111,45.6161111,http://dd.weather.gc.ca/air_quality/aqhi/atl/observation/realtime/xml/AQ_OBS_CBELL_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/atl/forecast/realtime/xml/AQ_FCST_CBELL_CURRENT.xml
DAEGW,Saint John,-66.0388888888889,45.2591666666667,http://dd.weather.gc.ca/air_quality/aqhi/atl/observation/realtime/xml/AQ_OBS_DAEGW_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/atl/forecast/realtime/xml/AQ_FCST_DAEGW_CURRENT.xml
DAEBC,St. Andrews,-67.058373,45.079907,http://dd.weather.gc.ca/air_quality/aqhi/atl/observation/realtime/xml/AQ_OBS_DAEBC_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/atl/forecast/realtime/xml/AQ_FCST_DAEBC_CURRENT.xml
ABEFS,St. John's,-52.7252777777778,47.5658333333333,http://dd.weather.gc.ca/air_quality/aqhi/atl/observation/realtime/xml/AQ_OBS_ABEFS_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/atl/forecast/realtime/xml/AQ_FCST_ABEFS_CURRENT.xml
BAEMV,St. Peters Bay,-62.5833333333333,46.4166666666667,http://dd.weather.gc.ca/air_quality/aqhi/atl/observation/realtime/xml/AQ_OBS_BAEMV_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/atl/forecast/realtime/xml/AQ_FCST_BAEMV_CURRENT.xml
BADSZ,Summerside (Wellington),-64.0,46.45,http://dd.weather.gc.ca/air_quality/aqhi/atl/observation/realtime/xml/AQ_OBS_BADSZ_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/atl/forecast/realtime/xml/AQ_FCST_BADSZ_CURRENT.xml
CBLGX,Sydney,-60.1952777777778,46.1380555555556,http://dd.weather.gc.ca/air_quality/aqhi/atl/observation/realtime/xml/AQ_OBS_CBLGX_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/atl/forecast/realtime/xml/AQ_FCST_CBLGX_CURRENT.xml
EGLTT,Gatineau,-75.65,45.4833333333333,,http://dd.weather.gc.ca/air_quality/aqhi/que/forecast/realtime/xml/AQ_FCST_EGLTT_CURRENT.xml
EHHUN,Montréal,-73.65,45.5166666666667,,http://dd.weather.gc.ca/air_quality/aqhi/que/forecast/realtime/xml/AQ_FCST_EHHUN_CURRENT.xml
EHTWR,Quebec,-71.2166666666667,46.8166666666667,,http://dd.weather.gc.ca/air_quality/aqhi/que/forecast/realtime/xml/AQ_FCST_EHTWR_CURRENT.xml
FAFFD,Barrie,-79.6769699,44.37124,http://dd.weather.gc.ca/air_quality/aqhi/ont/observation/realtime/xml/AQ_OBS_FAFFD_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/ont/forecast/realtime/xml/AQ_FCST_FAFFD_CURRENT.xml
FEVJS,Belleville,-77.3697222,44.2566666,http://dd.weather.gc.ca/air_quality/aqhi/ont/observation/realtime/xml/AQ_OBS_FEVJS_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/ont/forecast/realtime/xml/AQ_FCST_FEVJS_CURRENT.xml
FALIF,Brampton,-79.7608333333333,43.6883333333333,http://dd.weather.gc.ca/air_quality/aqhi/ont/observation/realtime/xml/AQ_OBS_FALIF_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/ont/forecast/realtime/xml/AQ_FCST_FALIF_CURRENT.xml
FALJI,Brantford,-80.25749,43.1569444,http://dd.weather.gc.ca/air_quality/aqhi/ont/observation/realtime/xml/AQ_OBS_FALJI_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/ont/forecast/realtime/xml/AQ_FCST_FALJI_CURRENT.xml
FAMXK,Burlington,-79.8141666666667,43.37,http://dd.weather.gc.ca/air_quality/aqhi/ont/observation/realtime/xml/AQ_OBS_FAMXK_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/ont/forecast/realtime/xml/AQ_FCST_FAMXK_CURRENT.xml
FEUTC,Chatham,-82.12876,42.43396,http://dd.weather.gc.ca/air_quality/aqhi/ont/observation/realtime/xml/AQ_OBS_FEUTC_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/ont/forecast/realtime/xml/AQ_FCST_FEUTC_CURRENT.xml
FCCOT,Cornwall,-74.7263889,45.0263889,http://dd.weather.gc.ca/air_quality/aqhi/ont/observation/realtime/xml/AQ_OBS_FCCOT_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/ont/forecast/realtime/xml/AQ_FCST_FCCOT_CURRENT.xml
FAZKI,Dorset,-78.8927778,45.2447222,http://dd.weather.gc.ca/air_quality/aqhi/ont/observation/realtime/xml/AQ_OBS_FAZKI_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/ont/forecast/realtime/xml/AQ_FCST_FAZKI_CURRENT.xml
FAYJG,Grand Bend,-81.7563889,43.3025,http://dd.weather.gc.ca/air_quality/aqhi/ont/observation/realtime/xml/AQ_OBS_FAYJG_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/ont/forecast/realtime/xml/AQ_FCST_FAYJG_CURRENT.xml
FBKKK,Guelph,-80.22899,43.53571,http://dd.weather.gc.ca/air_quality/aqhi/ont/observation/realtime/xml/AQ_OBS_FBKKK_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/ont/forecast/realtime/xml/AQ_FCST_FBKKK_CURRENT.xml
FEVNS,Hamilton,-79.935,43.242778,http://dd.weather.gc.ca/air_quality/aqhi/ont/observation/realtime/xml/AQ_OBS_FEVNS_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/ont/forecast/realtime/xml/AQ_FCST_FEVNS_CURRENT.xml
FBLJL,Hamilton Downtown,-79.8418,43.24504,http://dd.weather.gc.ca/air_quality/aqhi/ont/observation/realtime/xml/AQ_OBS_FBLJL_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/ont/forecast/realtime/xml/AQ_FCST_FBLJL_CURRENT.xml
FBLKS,Hamilton Mountain,-79.82235,43.23039,http://dd.weather.gc.ca/air_quality/aqhi/ont/observation/realtime/xml/AQ_OBS_FBLKS_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/ont/forecast/realtime/xml/AQ_FCST_FBLKS_CURRENT.xml
FDCHU,Hamilton West,-79.9027778,43.2644444,http://dd.weather.gc.ca/air_quality/aqhi/ont/observation/realtime/xml/AQ_OBS_FDCHU_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/ont/forecast/realtime/xml/AQ_FCST_FDCHU_CURRENT.xml
FEVJR,Kingston,-76.4163888,44.3066666,http://dd.weather.gc.ca/air_quality/aqhi/ont/observation/realtime/xml/AQ_OBS_FEVJR_CURRENT.xml,http://dd.weather.gc.ca/air_quality/aqhi/ont/forecast/realtime/xml/AQ_FCST_FEVJR_CURRENT.xml
